Inflation,GDP_real,GDP_nominal,DispIncome_real,DispIncome_nominal,Unemployment,Treasury3Mon,Treasury5Yr,Treasury10Yr,BBBCorpYd,Mortgage,Prime,DowJonesIndx,HousePriceIndx,ComlRealEstIndx,VIX,GDP_real_eu,Inflation_real_eu,Exchange_eu,GDP_real_apac,Inflation_real_apac,Exchange_apac,GDP_real_jp,Inflation_real_jp,Exchange_jp,GDP_real_uk,Inflation_real_uk,Exchange_uk
1.4,-4.7,-2.3,1.4,3,5,0.1,1.9,2.4,7.1,5.3,3.3,13466,186,262,50.7,-4,0.1,1.123,-1.5,0.3,99.5,-3.8,-2.6,108.6,-3.5,0.6,1.316
0.9,-8.9,-7.1,-4.2,-3.1,6.5,0.1,1.9,2.4,7.7,5.7,3.3,11631,171,234,62.4,-5.2,-0.7,1.097,-0.8,-1,103.5,-7.4,-3.7,106.4,-5.1,-0.2,1.296
1.2,-6.8,-5.1,-5.1,-3.8,7.6,0.1,1.9,2.4,7.9,5.8,3.3,10575,159,212,59.5,-4.3,-1.1,1.084,1.5,-1.7,105.9,-9.9,-5,103.4,-4.8,-0.7,1.284
1.3,-4.7,-3,-3.9,-2.5,8.5,0.1,1.9,2.4,8,5.9,3.3,10306,151,195,52.8,-3.3,-1.2,1.071,2.9,-2.2,107.5,-11.4,-5.8,100.9,-4.1,-0.9,1.271
1.5,-3.6,-1.8,-2.9,-1.5,9.3,0.1,1.9,2.4,8.1,6,3.2,9689,143,181,47.4,-1.6,-0.8,1.081,4.9,-2.1,106.3,-9.8,-5.2,100.5,-2.8,-0.6,1.278
1.5,-1.3,0.3,-2.4,-1,9.7,0.1,1.9,2.4,7.9,6,3.2,10100,139,173,37.9,-0.1,-0.5,1.091,5.9,-1.8,105,-7.3,-4.5,100,-1.4,-0.3,1.284
1.5,-0.2,1.4,-1.4,-0.1,10,0.1,1.9,2.4,7.5,5.8,3.2,10949,136,167,29.7,1,-0.1,1.101,6.2,-1.4,103.7,-5,-3.7,99.6,-0.2,0.1,1.29
1.8,2.8,4.3,-0.1,1.5,9.9,0.1,1.9,2.4,7.1,5.7,3.2,12031,136,167,23.5,1.7,0.3,1.111,6.2,-1,102.5,-3.2,-3,99.3,0.8,0.4,1.295
1.8,3.5,4.8,1.9,3.4,9.7,0.1,1.9,2.4,6.7,5.5,3.2,13234,136,167,19.8,2.1,0.6,1.116,6.3,-0.6,101.1,-1.7,-2.3,99.3,1.5,0.7,1.295
1.7,4,5.2,2.3,3.7,9.5,0.1,1.9,2.4,6.3,5.3,3.2,14713,137,170,17.5,2.4,0.8,1.121,6.4,-0.3,100,-0.5,-1.7,99.4,2.1,1,1.294
1.6,4.2,5.3,2.7,4.1,9.2,0.1,1.9,2.4,5.9,5.1,3.2,16323,139,172,16,2.4,1,1.127,6.5,0,98.9,0.3,-1.2,99.6,2.4,1.2,1.294
1.6,4.5,5.5,3.1,4.3,8.9,0.1,1.9,2.4,5.5,4.9,3.2,18143,141,176,15,2.4,1.1,1.132,6.5,0.4,98.1,0.9,-0.7,99.9,2.6,1.3,1.293
1.5,4.5,5.4,3.3,4.5,8.6,0.1,1.9,2.4,5,4.7,3.2,20168,143,180,14.4,2.3,1.2,1.136,6.6,0.8,97.4,1.3,-0.3,100.1,2.6,1.4,1.293
