track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_.,valence_.,energy_.,acousticness_.,instrumentalness_.,liveness_.,speechiness_.,artist1,artist2,artist3,streams_m,in_deezer_playlists_m,in_shazam_charts_m,outlier,key_m,mode_m,artist4,artist5
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509,19,29,21,0,0,140,"",Major,64,18,37,72,0,12,7,Taylor Swift,"","",433.356509,21,0,4,C,Major,Taylor Swift,1
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785,122,94,"1,992",0,18,136,"",Minor,36,12,57,9,0,14,8,The Weeknd,"","",1947.371785,1992,18,0,"",Minor,The Weeknd,2
Low,SZA,1,2022,12,9,1911,0,272377463,23,71,14,0,9,145,"",Minor,70,34,55,43,0,16,6,SZA,"","",272.377463,14,9,0,"",Minor,SZA,7
Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316,59,100,58,13,2,100,G,Major,36,28,28,81,0,18,3,SZA,"","",284.908316,58,2,0,G,Major,SZA,7
Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962,20,64,35,6,0,122,A#,Major,88,43,50,7,0,14,5,Bad Bunny,"","",671.365962,35,0,0,A#,Major,Bad Bunny,3
After Hours,The Weeknd,1,2020,2,19,8084,6,698086140,45,115,218,1,221,109,F,Minor,66,16,57,10,1,12,3,The Weeknd,"","",698.08614,218,221,0,F,Minor,The Weeknd,2
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996,74,113,85,9,2,100,F,Minor,80,29,67,29,0,12,3,Bad Bunny,"","",909.001996,85,2,0,F,Minor,Bad Bunny,3
Shirt,SZA,1,2022,10,28,3469,0,309653982,71,95,31,0,2,120,D#,Minor,82,55,45,15,3,9,10,SZA,"","",309.653982,31,2,0,D#,Minor,SZA,7
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270,128,84,75,0,35,83,C#,Major,46,34,64,31,0,7,34,Drake, Future, Tems,556.58527,75,35,0,C#,Major,Drake,4
Blind,SZA,1,2022,12,9,1484,0,163284000,22,51,12,0,0,114,A,Minor,46,60,28,91,0,21,4,SZA,"","",163.284,12,0,0,A,Minor,SZA,7
Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497,120,86,164,4,0,180,C#,Major,64,44,65,28,0,14,12,Bad Bunny,"","",1260.594497,164,0,0,C#,Major,Bad Bunny,3
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,1555511105,344,97,945,15,"",126,B,Minor,81,59,90,5,0,36,3,Ed Sheeran,"","",1555.511105,945,,0,B,Minor,Ed Sheeran,6
Good Days,SZA,1,2020,12,24,10426,2,826623384,133,109,182,1,10,121,C#,Minor,46,53,78,23,0,72,6,SZA,"","",826.623384,182,10,0,C#,Minor,SZA,7
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203,8,18,20,0,1,120,D,Major,69,40,39,41,0,13,6,Taylor Swift,"","",348.647203,20,1,0,D,Major,Taylor Swift,1
Seek & Destroy,SZA,1,2022,12,9,1007,0,98709329,5,31,1,0,0,152,C#,Major,65,35,65,44,18,21,7,SZA,"","",98.709329,1,0,0,C#,Major,SZA,7
Love Language,SZA,1,2022,12,9,1127,0,110849052,16,63,8,0,0,65,A,Minor,71,55,26,85,0,13,8,SZA,"","",110.849052,8,0,0,A,Minor,SZA,7
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0,94005786,7,29,3,0,0,150,A#,Minor,73,71,69,53,0,32,9,SZA, Don Toliver,"",94.005786,3,0,0,A#,Minor,SZA,7
